Molecule Name,Molecule Concentration,HTS_0
M-000001,30.0,1.1614760160446167
M-000002,0.3125,1.1554889678955078
M-000002,0.3125,1.0283803939819336
M-000002,0.3125,1.44661545753479
M-000001,0.625,3.291069269180298
M-000001,0.625,3.281595230102539
M-000001,10.0,2.2545669078826904
M-000002,20.0,2.3732242584228516
M-000001,5.0,3.0279083251953125
M-000002,5.0,1.4804365634918213
M-000002,30.0,2.5225937366485596
M-000002,0.625,1.083705186843872
M-000002,2.5,1.3255579471588135
M-000002,0.3125,1.1287693977355957
M-000002,1.25,1.607731580734253
M-000002,0.625,2.101953506469727
M-000002,2.5,1.3909132480621338
M-000001,5.0,2.630964756011963
M-000001,0.3125,3.2801034450531006
M-000001,20.0,1.9247907400131223
M-000002,0.625,1.6502492427825928
M-000002,2.5,1.6049649715423584
M-000001,10.0,2.181769609451294
M-000001,10.0,2.3338398933410645
M-000001,0.3125,2.830937147140503
M-000001,10.0,2.1733031272888184
M-000001,20.0,1.958852767944336
M-000002,1.25,1.7418622970581055
M-000002,2.5,1.427924633026123
M-000002,1.25,1.459519624710083
M-000002,10.0,2.069661617279052
M-000002,30.0,2.6155582666397095
M-000001,2.5,2.606062173843384
M-000001,1.25,2.641786336898804
M-000002,2.5,1.0844686031341553
M-000001,0.3125,3.438199758529663
M-000001,2.5,3.0434138774871826
M-000001,5.0,2.1095449924468994
M-000002,20.0,2.652549386024475
M-000002,2.5,1.19163179397583
M-000001,5.0,2.9354164600372314
M-000002,20.0,2.202418327331543
M-000001,0.3125,3.172166347503662
M-000002,1.25,1.4234142303466797
M-000002,20.0,2.24421763420105
M-000001,2.5,2.6006884574890137
M-000002,10.0,2.264136791229248
M-000002,5.0,2.2381837368011475
M-000002,5.0,1.9565081596374512
M-000002,0.3125,1.3799808025360107
M-000001,20.0,1.8946613073349
M-000001,30.0,1.9752601385116573
M-000002,0.625,2.2778220176696777
M-000002,20.0,2.542075276374817
M-000002,1.25,1.4842555522918701
M-000001,20.0,1.2734506130218506
M-000001,2.5,2.7230429649353027
M-000001,1.25,3.632969379425049
M-000002,30.0,2.441868305206299
M-000001,10.0,2.3251724243164062
M-000002,20.0,2.398960590362549
M-000002,20.0,2.60435688495636
M-000001,2.5,2.4592177867889404
M-000001,10.0,2.409541130065918
M-000001,0.3125,3.557814598083496
M-000002,30.0,2.6011171340942387
M-000001,20.0,2.0400094985961914
M-000001,1.25,2.8757903575897217
M-000001,10.0,2.462325096130371
M-000001,0.625,2.9783291816711426
M-000001,20.0,1.8334999084472656
M-000002,5.0,1.5065577030181885
M-000002,30.0,2.481660604476928
M-000002,10.0,2.232967376708984
M-000001,1.25,3.494265556335449
M-000002,20.0,2.0148537158966064
M-000002,0.625,2.036305665969848
M-000002,0.625,1.2240469455718994
M-000001,0.625,2.9611289501190186
M-000002,1.25,1.5448474884033199
M-000002,0.625,1.6375720500946045
M-000002,1.25,1.562854290008545
M-000002,30.0,2.179961919784546
M-000001,5.0,3.154029369354248
M-000002,20.0,2.4687395095825195
M-000001,0.625,3.3528876304626465
M-000001,1.25,3.540068864822388
M-000002,2.5,1.2393181324005118
M-000002,20.0,2.1712422370910645
M-000002,0.3125,1.0958688259124756
M-000001,0.625,2.7256898880004883
M-000002,0.625,1.8891270160675049
M-000002,2.5,1.6283454895019531
M-000002,30.0,2.59053635597229
M-000001,20.0,1.421745777130127
M-000001,1.25,2.595833778381348
M-000001,20.0,1.847942471504212
M-000001,0.3125,2.5192530155181885
M-000001,20.0,2.191588878631592
M-000001,0.3125,3.194288492202759
M-000002,0.625,1.765275478363037
M-000001,0.625,3.2936244010925293
M-000002,20.0,2.5234572887420654
M-000001,2.5,2.8531529903411865
M-000002,2.5,0.9836263656616211
M-000001,1.25,2.827898025512696
M-000001,2.5,2.127226591110229
M-000002,2.5,1.4448113441467285
M-000001,5.0,2.788384199142456
M-000002,2.5,1.3765294551849365
M-000001,5.0,1.9929982423782349
M-000001,10.0,1.9681212902069087
M-000002,1.25,1.3900270462036133
M-000001,5.0,3.0142509937286377
M-000001,0.625,2.231144428253174
M-000002,1.25,1.80741286277771
M-000002,0.625,1.1417503356933594
M-000002,20.0,2.5158406496047974
M-000001,0.625,3.381552219390869
M-000001,2.5,3.013442277908325
M-000001,0.3125,3.076247215270996
M-000002,1.25,1.541853427886963
M-000002,0.625,0.965354204177856
